手動入力	API 自動取得			URL自動計算	手動入力				
YouTubeリンク	動画タイトル	投稿日	サムネイルURL	再生位置	タイプ	曲名	原曲歌唱	作詞・作曲他	タグ（カンマ区切り）
https://www.youtube.com/watch?v=6DMVk5FF8H4&t=1570	【記念】９万人ありがとう！雑談しつつアカペラる【メリッサ・キンレンカ/にじさんじ】	2020-04-29T12:06:37Z	https://i.ytimg.com/vi/6DMVk5FF8H4/default.jpg		歌枠	真夏の果実	サザンオールスターズ	作詞・作曲：桑田佳祐	アカペラ
https://www.youtube.com/watch?v=6DMVk5FF8H4&t=1807	【記念】９万人ありがとう！雑談しつつアカペラる【メリッサ・キンレンカ/にじさんじ】	2020-04-29T12:06:37Z	https://i.ytimg.com/vi/6DMVk5FF8H4/default.jpg		歌枠	いとしのエリー	サザンオールスターズ	作詞・作曲：桑田佳祐	アカペラ,短め
https://www.youtube.com/watch?v=6DMVk5FF8H4&t=2060	【記念】９万人ありがとう！雑談しつつアカペラる【メリッサ・キンレンカ/にじさんじ】	2020-04-29T12:06:37Z	https://i.ytimg.com/vi/6DMVk5FF8H4/default.jpg		歌枠	どうにもとまらない	山本リンダ	作詞：阿久悠、作曲：都倉俊一	アカペラ,ワンフレーズ
https://www.youtube.com/watch?v=6DMVk5FF8H4&t=2094	【記念】９万人ありがとう！雑談しつつアカペラる【メリッサ・キンレンカ/にじさんじ】	2020-04-29T12:06:37Z	https://i.ytimg.com/vi/6DMVk5FF8H4/default.jpg		歌枠	Good-bye days	YUI	作詞・作曲：YUI	アカペラ
https://www.youtube.com/watch?v=6DMVk5FF8H4&t=2231	【記念】９万人ありがとう！雑談しつつアカペラる【メリッサ・キンレンカ/にじさんじ】	2020-04-29T12:06:37Z	https://i.ytimg.com/vi/6DMVk5FF8H4/default.jpg		歌枠	Missing	久保田利伸	作詞・作曲：久保田利伸	アカペラ
https://www.youtube.com/watch?v=6DMVk5FF8H4&t=2442	【記念】９万人ありがとう！雑談しつつアカペラる【メリッサ・キンレンカ/にじさんじ】	2020-04-29T12:06:37Z	https://i.ytimg.com/vi/6DMVk5FF8H4/default.jpg		歌枠	LA・LA・LA LOVE SONG	久保田利伸 with NAOMI CAMPBELL	作詞・作曲：久保田利伸	アカペラ
https://www.youtube.com/watch?v=6DMVk5FF8H4&t=2714	【記念】９万人ありがとう！雑談しつつアカペラる【メリッサ・キンレンカ/にじさんじ】	2020-04-29T12:06:37Z	https://i.ytimg.com/vi/6DMVk5FF8H4/default.jpg		歌枠	夏夜のマジック	indigo la End	作詞・作曲：川谷絵音	アカペラ,ワンフレーズ
https://www.youtube.com/watch?v=6DMVk5FF8H4&t=2753	【記念】９万人ありがとう！雑談しつつアカペラる【メリッサ・キンレンカ/にじさんじ】	2020-04-29T12:06:37Z	https://i.ytimg.com/vi/6DMVk5FF8H4/default.jpg		歌枠	エイリアンズ	キリンジ	作詞・作曲：堀込泰行	アカペラ
https://www.youtube.com/watch?v=Q-RYCal6qig&t=1852	【雑談】お昼ごはんなにたべた？【メリッサ・キンレンカ/にじさんじ】	2020-05-26T06:25:46Z	https://i.ytimg.com/vi/Q-RYCal6qig/default.jpg		配信	手紙 ～拝啓 十五の君へ～	アンジェラ・アキ	作詞・作曲：アンジェラ・アキ	歌ってみた
https://www.youtube.com/watch?v=Q-RYCal6qig&t=2994	【雑談】お昼ごはんなにたべた？【メリッサ・キンレンカ/にじさんじ】	2020-05-26T06:25:46Z	https://i.ytimg.com/vi/Q-RYCal6qig/default.jpg		配信	となりのトトロ	井上あずみ	作詞：宮崎駿、作曲：久石譲	歌ってみた
https://www.youtube.com/watch?v=7kxxL2QHYmY&t=2596	【雑談】おきたわね【メリッサ・キンレンカ/にじさんじ】	2020-06-09T22:41:04Z	https://i.ytimg.com/vi/7kxxL2QHYmY/default.jpg		配信	Hail Holy Queen (Salve regina)			アカペラ
https://www.youtube.com/watch?v=DAR-p42m1lw&t=2316	壺鯛貝【メリッサ・キンレンカ/視点】	2020-07-18T13:17:03Z	https://i.ytimg.com/vi/DAR-p42m1lw/default.jpg		配信	朝ごはんの歌	手嶌葵	作詞：宮崎吾朗・谷山浩子、作曲：谷山浩子	アカペラ
https://www.youtube.com/watch?v=DAR-p42m1lw&t=2430	壺鯛貝【メリッサ・キンレンカ/視点】	2020-07-18T13:17:03Z	https://i.ytimg.com/vi/DAR-p42m1lw/default.jpg		配信	ルージュの伝言	荒井由実（松任谷由実）	作詞・作曲：荒井由実	アカペラ
https://www.youtube.com/watch?v=DAR-p42m1lw&t=2569	壺鯛貝【メリッサ・キンレンカ/視点】	2020-07-18T13:17:03Z	https://i.ytimg.com/vi/DAR-p42m1lw/default.jpg		配信	テルーの唄	手嶌葵	作詞：宮崎吾朗、作曲：谷山浩子	アカペラ
https://www.youtube.com/watch?v=DAR-p42m1lw&t=2704	壺鯛貝【メリッサ・キンレンカ/視点】	2020-07-18T13:17:03Z	https://i.ytimg.com/vi/DAR-p42m1lw/default.jpg		配信	カントリー・ロード	本名陽子	原曲作詞：ビル・ダニフ、ジョン・デンバー、作曲：タッフィー・ナイバート、ジョン・デンバー、日本語訳詞：鈴木麻実子、補作：宮崎駿、編曲：野見祐二	アカペラ,短め
https://www.youtube.com/watch?v=DAR-p42m1lw&t=2770	壺鯛貝【メリッサ・キンレンカ/視点】	2020-07-18T13:17:03Z	https://i.ytimg.com/vi/DAR-p42m1lw/default.jpg		配信	いつでも誰かが	上々颱風	作詞・作曲：紅龍、編曲：上々颱風	アカペラ,短め
https://www.youtube.com/watch?v=zou9Yygn49s&t=4669	【雑談】半年ありがとっぽぎってからい？【メリッサ・キンレンカ/にじさんじ】	2020-08-02T14:33:31Z	https://i.ytimg.com/vi/zou9Yygn49s/default.jpg		配信	夜に駆ける	YOASOBI	Music：Ayase、Vocal：ikura	アカペラ,短め
